"Stakeholder","Province","District","Product","Reporting_Month","Reporting_Year","Health_Facility","opening_balance","received_balance","issue_balance","closing_balance","adjustment_positive","adjustment_negative","avg_consumption","new","old","reporting_date","created_date","last_update","ip_address"
"PPHI","Sindh","Badin","Condom","1","2014","BHU Khalifo Qasim","104","144","70","178","0","0","70","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","POP","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","COC","1","2014","BHU Khalifo Qasim","75","0","12","63","0","0","12","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","ECP","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","Copper-T-380A","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","Multiload","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","2-Month Inj","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","3-Month Inj","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","Implanon","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","Jadelle","1","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-1-2014","19-7-2014 09:50:22","19-7-2014 09:50:22","119.157.182.28"
"PPHI","Sindh","Badin","Condom","3","2014","BHU Khalifo Qasim","0","322","4","318","0","0","84","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","POP","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","COC","3","2014","BHU Khalifo Qasim","54","6","24","36","0","0","15","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","ECP","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","Copper-T-380A","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","Multiload","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","2-Month Inj","3","2014","BHU Khalifo Qasim","7","10","4","13","0","0","4","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","3-Month Inj","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","Implanon","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","Jadelle","3","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-3-2014","19-8-2014 13:04:04","19-8-2014 13:04:04","119.159.52.108"
"PPHI","Sindh","Badin","Condom","4","2014","BHU Khalifo Qasim","318","0","148","170","0","0","110","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","POP","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","COC","4","2014","BHU Khalifo Qasim","36","0","18","18","0","0","17","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","ECP","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","Copper-T-380A","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","Multiload","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","2-Month Inj","4","2014","BHU Khalifo Qasim","13","0","7","6","0","0","5","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","3-Month Inj","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","Implanon","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","Jadelle","4","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-4-2014","22-8-2014 12:06:34","22-8-2014 12:06:34","119.159.49.242"
"PPHI","Sindh","Badin","Condom","2","2014","BHU Khalifo Qasim","178","0","178","0","0","0","124","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","POP","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","COC","2","2014","BHU Khalifo Qasim","63","0","9","54","0","0","10","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","ECP","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","Copper-T-380A","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","Multiload","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","2-Month Inj","2","2014","BHU Khalifo Qasim","0","10","3","7","0","0","3","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","3-Month Inj","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","Implanon","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","Jadelle","2","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-2-2014","16-8-2014 12:05:10","23-8-2014 12:00:19","119.157.182.29"
"PPHI","Sindh","Badin","Condom","5","2014","BHU Khalifo Qasim","170","100","60","40","0","170","71","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","POP","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","COC","5","2014","BHU Khalifo Qasim","18","12","4","26","0","0","15","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","ECP","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","Copper-T-380A","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","Multiload","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","2-Month Inj","5","2014","BHU Khalifo Qasim","6","10","1","15","0","0","4","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","3-Month Inj","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","Implanon","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
"PPHI","Sindh","Badin","Jadelle","5","2014","BHU Khalifo Qasim","0","0","0","0","0","0","0","","","1-5-2014","25-8-2014 11:34:49","25-8-2014 11:34:49","119.159.62.127"
